record - leader,001,008,035,040,245,260,310,336,337,338,653,264,996,998,650,710,246,500,775,022,247,321,580,546,521,900,300,490,700,041,773,981,711,856,110,901,692,250,525,600,983,505
00500nas  2200169u  4500,9914869130101480,931209q19831989be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001486913LBS01-Aleph^$ $ $a5118517^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9914869130101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aChristenen voor Europa. Mededelingen.,^$ $ $aS.l.$ $ $bs.n.$ $ $c[1983]-[1989],^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00674nas  2200217u  4500,9914870150101480,931209q19851989be mr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001487015LBS01-Aleph^$ $ $a5119059^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9914870150101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$3$aDe kletskous.,^$ $ $aVarsenare$ $ $bKLJ. Varsenare$ $ $c[1985]-[1989],^$ $ $aMonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ao,^$ $7$2KADOC$ $ $aC7$ $ $xJeugd en sport$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $ajeugdbewegingen$ $ $6(ODIS-TW)951,^$2$ $aKLJ. Varsenare$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00798nas  2200241u  4500,9914924470101480,940104q19852003be qr|p||     0|||a|ita c,^$ $ $a(BeLVLBS)001492447LBS01-Aleph^$ $ $a5149951^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9914924470101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$2$aL'araldo$ $ $bdriemaandelijks tijdschrift.$ $ $613048958,^$ $ $aHasselt$ $ $bACV-Limburg$ $ $c[1985]-[2003],^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ao,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT),^$2$ $aACV. Verbond Limburg.$ $ $4edt,,^$ $ $aUitgever varieert^$ $ $aOndertitel varieert,,,,,,,,,,,,,,,,,,,,,,,,
00643nas  2200193u  4500,9914925100101480,940104q19852003be qr|p||     0|||a|ita c,^$ $ $a(BeLVLBS)001492510LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9914925100101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aYouth in Europe$ $ $ban analysis for action.,"^$ $ $aBruxelles$ $ $bYoung christian students, International movement of Catholic students$ $ $c[1983]-?",^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,,^$2$ $aYoung christian students$ $ $4oth^$2$ $aIMCS.$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00645nas  2200205u  4500,9914997740101480,940127q19841991be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001499774LBS01-Aleph^$ $ $a5192154^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9914997740101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aOnze ronde : tijdschrift voor bodes van ACV-Limburg.,^$ $ $aHasselt$ $ $bACV-Limburg$ $ $c1984-[1991],^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ao,,^$2$ $aACV. Verbond Limburg.$ $ $4edt,,^$ $ $afrequentie varieert,,,,,,,,,,,,,,,,,,,,,,,,
00561nas  2200169u  4500,9915013380101480,940127q19841991be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001501338LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9915013380101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aTextiel en kleding.,^$ $ $aHasselt$ $ $bChristelijke centrale voor textiel en kledingbewerkers. Beroepsverbond Limburg$ $ $c1982-[1985],^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00579nas  2200193u  4500,9915013590101480,940127q19841991be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001501359LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9915013590101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aInfo-Limburg.,^$ $ $aHasselt$ $ $bACW. Verbond Limburg$ $ $c[1984]-[1985],^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,,^$2$ $aACW. Verbond Limburg$ $ $4oth^$2$ $aWereldsolidariteit$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00677nas  2200205u  4500,9915051190101480,940214q19841985be zr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001505119LBS01-Aleph^$ $ $a5222435^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9915051190101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aSetramstraat.,^$ $ $aS.l.$ $ $bACV-Limburg. Vriendendienst Familia$ $ $c1984-[1985],^$ $ $aIrregular,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ap,,^$2$ $aACV. Verbond Limburg. Vriendenkring Familia$ $ $4oth,,,^$1$8$w(BeLVLBS)001472178LBS01-Aleph$ $ $tFamiliaatje$ $ $4780,,,,,,,,,,,,,,,,,,,,,,,
00637nas  2200205u  4500,9915078020101480,940222q19841985be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001507802LBS01-Aleph^$ $ $a5237298^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9915078020101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aInfo-blad van de coöperatie kringloop.,^$ $ $aHasselt$ $ $bCoöperatie kringloop$ $ $c1984-[1985],^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ap,,^$2$ $aCoöperatie kringloop$ $ $4oth,,^$ $ $aTitel varieert,,,,,,,,,,,,,,,,,,,,,,,,
00655nas  2200217u  4500,9915079210101480,940222q19821994be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001507921LBS01-Aleph^$ $ $a5237839^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9915079210101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aKernkrant : CVP-magazine nieuw Leuven.,,^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $1$c1982-1994^$ $1$aLeuven$ $ $bCVP$ $ $31982-1994,^$ $ $aKADOC$ $ $bphysical$ $ $c202004$ $ $9local,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ap,^$ $7$2KADOC$ $ $aC8$ $ $xIdeologie en politiek$ $ $6(ODIS-HT),,,,,,,,,,,,,,,,,,,,,,,,,,,
00613nas  2200181u  4500,9915085360101480,940224q19841996be br|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001508536LBS01-Aleph^$ $ $a5242428^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9915085360101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aBrief aan de groepsleiding$ $ $bkontaktblad voor groepsleiding van Chirojeugd Vlaanderen.,^$ $ $aAntwerpen$ $ $bChirojeugd Vlaanderen$ $ $c[1987]-[1996],^$ $ $aBimonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,,,,,,,,,,,,,,,,^$1$ $aChirojeugd Vlaanderen$ $ $4oth,,,,,,,,,,,,,
00568nas  2200193u  4500,9915155720101480,940315q19812002be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001515572LBS01-Aleph^$ $ $a5281152^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9915155720101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aMU.,^$ $ $aLier$ $ $bMissieprokuur Urselinen$ $ $c1981-[2002],^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,,,^$2$ $aMissieprokuur Urselinen$ $ $4oth,^$1$1$aMissieprokuur Urselinen,,,,,,,,,,,,,,,,,,,,,,,,,
00700nas  2200229u  4500,9915187240101480,940324q19831999be br|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001518724LBS01-Aleph^$ $ $a5298850^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9915187240101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aAlleluia.,^$ $ $aLeuven$ $ $bAbdij Keizersberg$ $ $c[1983]-[1999],^$ $ $aBimonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,^$ $ $aKADOC$ $ $bphysical$ $ $c201507$ $ $9local,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ap,^$ $7$2KADOC$ $ $aC1$ $ $xKerken en religie$ $ $6(ODIS-HT),^$2$ $aAbdij Keizersberg Leuven.$ $ $4oth,,^$ $ $aPeriodiciteit varieert,,,,,,,,,,,,,,,,,,,,,,,,
00587nas  2200193u  4500,9915214140101480,940405d19829999be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001521414LBS01-Aleph^$ $ $a5314286^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9915214140101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aACSOG-standpunt.,^$ $ $aBrussel$ $ $bACSOG$ $ $c1982-?,^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ap,,"^$2$ $aAutonoom centrum school, ouders en gemeenschap$ $ $4oth",,,,,,,,,,,,,,,,,,,,,,,,,,
00600nas  2200193u  4500,9915294550101480,940502q19811989be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001529455LBS01-Aleph^$ $ $a5360835^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9915294550101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aAltiplano : kontaktblad van de vrienden van de Corocoro-missie.,,^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $1$c1981-[1989]^$ $1$aLeuven$ $ $bGielen$ $ $31981-[1989].,^$ $ $aKADOC$ $ $bphysical$ $ $c201808$ $ $dA$ $ $9local,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00597nas  2200193u  4500,9915359640101480,940525q19851999be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001535964LBS01-Aleph^$ $ $a5399347^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9915359640101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aJongeren voor het leven.,^$ $ $aBrussel$ $ $bJongeren voor het leven$ $ $c[1985]-[1999],^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ap,,^$2$ $aJongeren voor het leven$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00773nas  2200217u  4500,9915393480101480,940606q19821991be mr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001539348LBS01-Aleph^$ $ $a5419902^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9915393480101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$3$aDe brug$ $ $binlichtingsblad voor bestuursleden van het beroepsverbond van de CCMB-Limburg.,,^$ $ $aMonthly$ $ $bverschijnt 10 x per jaar,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $1$c[1982]-[1991]^$ $1$aHouthalen$ $ $bCCMB-Limburg$ $ $3[1982]-[1991].,,,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT),^$2$ $aCCMB-Limburg$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00637nas  2200205u  4500,9915393900101480,940606q19851987be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001539390LBS01-Aleph^$ $ $a5420198^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9915393900101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aMail-idee.,^$ $ $aBrugge$ $ $bKunstateliers Slabbinck$ $ $c[1985]-[1987],^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ap,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),^$2$ $aKunstateliers Slabbinck$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00816nas  2200241u  4500,9916127050101480,940606q19851987be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001612705LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9916127050101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aTijdschrift verslavingsproblematiek.,^$ $ $c1985-^$ $ $aMerelbeke$ $ $bDe Sleutel.,^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,^$ $7$2BPB$ $ $aClosed periodicals^$ $7$2BPB$ $ $a364.272 <493> <05>^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $asociaal beleid$ $ $6(ODIS-TW)1835,,,,,,^$1$0$aTijdschrift over verslavingsproblematiek$ $ $g1985-1992,,,,,,,,,,,,,,,,,,,,,
00714nas  2200205u  4500,9916193560101480,940606q19851987be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001619356LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9916193560101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aDevotionalia$ $ $bperiodiek voor verzamelaars van devotionalia.$ $ $613047735,^$ $ $aEindhoven$ $ $bStichting Devotionalia$ $ $c1982-,^$ $ $aBimonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,^$ $ $aKADOC$ $ $bphysical$ $ $c202104$ $ $9local,,^$ $7$2KADOC$ $ $aC1$ $ $xKerken en religie$ $ $6(ODIS-HT)^$ $7$2UDC$ $ $a2 <05>$ $ $xGodsdienst. Theologie--Tijdschriften^$ $7$2KADOC$ $ $aHOOFDTREFWOORD-00,,,,,,,,,,,,,,,,,,,,,,,,,,,
00680nas  2200205u  4500,9916199720101480,950426q19851990be qr|p||     0|||a|fre c,^$ $ $a(BeLVLBS)001619972LBS01-Aleph^$ $ $a5917166^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9916199720101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aCahiers vivre aujourd'hui.,^$ $ $aBruxelles$ $ $bACI$ $ $c[1985]-[1990],^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,^$ $7$2KADOC$ $ $aC1$ $ $xKerken en religie$ $ $6(ODIS-HT),^$2$ $aACI mouvement chrétien d'éducation permanente et d'action du monde indépendant$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00632nas  2200193u  4500,9916203070101480,950427q19832001be br|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001620307LBS01-Aleph^$ $ $a5919129^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9916203070101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aTrade-flash$ $ $bKMO-informatieblad voor export en import.,^$ $ $aKortrijk$ $ $bNCMV-internationaal$ $ $c[1983]-[2001],^$ $ $aBimonthly$ $ $bBimonthly = 8x per jaar,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.aq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00599nas  2200205u  4500,9916227900101480,950506c19849999be qr|p||     0|||a|und c,^$ $ $a(BeLVLBS)001622790LBS01-Aleph^$ $ $a5932922^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9916227900101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aCum jubilo.,^$ $ $aWatou$ $ $bCum jubilo$ $ $c1984-,^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.aq,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),,,,,,,,,,,,,,,,,,,,,,,,,,,
00530nas  2200181u  4500,9916288220101480,950524q19821989be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001628822LBS01-Aleph^$ $ $a5966371^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9916288220101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aShekinah-tijding.,^$ $ $aBrussel$ $ $bShekinah$ $ $c[1982]-[1989],^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.aq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00509nas  2200169u  4500,9916757010101480,950524q19821989be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001675701LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9916757010101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aHeppie piepel!,^$ $ $aMechelen$ $ $bVakantiegenoegens. Verbond Mechelen$ $ $c[1985]-?,^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00619nas  2200217u  4500,9916769620101480,951204d19822009be qr|p||     0|||a|fre c,^$ $ $a(BeLVLBS)001676962LBS01-Aleph^$ $ $a6226518^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9916769620101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aFamilles unies,,^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $1$c[1982]-2009^$ $1$aBruxelles$ $ $bFamilles unies$ $ $3[1982]-2009,^$ $ $aKADOC$ $ $bphysical$ $ $c202006$ $ $9local,,,^$2$ $aFamilles unies$ $ $4oth,,^$ $ $aPublicatie stopgezet,,,,,,,,,,,,,,,,,,,,,,,,
00822nam  2200217u  4500,992947140101480,810827s1981    xx |||| |     000|0 dut c,^$ $ $a(BeLVLBS)000294714LBS01-Aleph^$ $ $a664941^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)992947140101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,"^$0$0$aDrie markante theatermannen$ $ $bRenaat Verheyen, Lode Geysen, Anton van de Velde /$ $ $cSamenst. Rik Jacobs.",^$ $ $aS.l.$ $ $bChristelijk Vlaams kunstenaarsverbond$ $ $c1981$ $ $eTielt$ $ $fLannoo,,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ac,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),,,,,,,,,,,,^$ $ $ap. 73-112$ $ $bill.,^$1$ $aVlaanderen : tweemaandelijks tijdschrift voor kunst en cultuur$ $ $v181,"^$1$ $aJacobs, Rik$ $ $4com",,,,,,,,,,,,,
01044nam  2200289u  4500,993036590101480,811022s1981    xx |||| |     000|0 dut c,^$ $ $a(BeLVLBS)000303659LBS01-Aleph^$ $ $a681826^$ $ $aDOCVB-000792258^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)993036590101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aJan van Ruusbroec /$ $ $cSamenst. A. Keersmaekers.,^$ $ $aS.l.$ $ $bChristelijk Vlaams kunstenaarsverbond$ $ $c1981$ $ $eTielt$ $ $fLannoo,,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ad,^$ $7$2UDC$ $ $a248 JAN VAN RUUSBROEC$ $ $xSpiritualiteit. Ascese. Mystiek. Vroomheid--JAN VAN RUUSBROEC^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT)^$ $7$2SISO$ $ $a245.3,,,,,,,,,,,,^$ $ $ap. 139-195$ $ $bill.,^$1$ $aVlaanderen : tweemaandelijks tijdschrift voor kunst en cultuur$ $ $v182-183,"^$1$ $aKeersmaekers, August.$ $ $4com^$0$ $aJan van Ruusbroec.$ $ $4pub",,,,,,,,,,,"^$1$0$aVan Ruusbroec, Jan",^$ $ $aBOEK,
00652nam  2200181u  4500,993208160101480,811022s1981    xx |||| |     000|0 dut c,^$ $ $a(BeLVLBS)000320816LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)993208160101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aActuele Vlaamse dichters 1.,^$ $ $aS.l.$ $ $bChristelijk Vlaams kunstenaarsverbond$ $ $c1981$ $ $eTielt$ $ $fLannoo,,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),,,,,,,,,,,,^$ $ $ap. 299-[341]$ $ $bill.,^$1$ $aVlaanderen : tweemaandelijks tijdschrift voor kunst en cultuur$ $ $v185,,,,,,,,,,,,,,
00775nam  2200217u  4500,993283350101480,820512s1982    xx |||| |     000|0 dut c,^$ $ $a(BeLVLBS)000328335LBS01-Aleph^$ $ $a744461^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)993283350101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aMuziek van onze eeuw /$ $ $cSamenstelling J. Van Ackere.,^$ $ $aS.l.$ $ $bChristelijk Vlaams kunstenaarsverbond$ $ $c1982$ $ $eTielt$ $ $fLannoo,,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ad,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),,,,,,,,,,,,^$ $ $a38 p.$ $ $bill.,^$1$ $aVlaanderen : tweemaandelijks tijdschrift voor kunst en cultuur$ $ $v186,"^$1$ $aVan Ackere, Jules$ $ $4com",,,,,,,,,,,,,
00786nam  2200217u  4500,993326400101480,820624s1982    xx |||| |     000|0 dut c,^$ $ $a(BeLVLBS)000332640LBS01-Aleph^$ $ $a754563^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)993326400101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$4$aHet paard in literatuur en beeldende kunst /$ $ $cSamenst. Willy Otte.,^$ $ $aRoeselare$ $ $bChristelijk Vlaams kunstenaarsverbond$ $ $c1982$ $ $eTielt$ $ $fLannoo,,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ad,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),,,,,,,,,,,,^$ $ $ap. 65-96.,^$1$ $aVlaanderen : tweemaandelijks tijdschrift voor kunst en cultuur$ $ $v187,"^$1$ $aOtte, Willy$ $ $4com",,,,,,,,,,,,,
